種目,日付,スコア,タイム
ML Cards,2022/05/31,52,58.53
ML Images,2021/11/03,30,22.00
ML IntNames,2022/03/16,12,59.11
ML NatNames,2022/05/17,16,58.38
ML Numbers,2023/04/05,80,45.96
ML Words,2023/03/18,35,58.86
ML World Tour Point,2022/12/09,140,
ML Overall Rating,2023/07/12,6744,
ML Cards Rating,2023/06/28,1145,
ML Images Rating,2023/07/12,1969,
ML IntNames Rating,2022/04/27,950,
ML NatNames Rating,2022/09/18,994,
ML Numbers Rating,2023/05/31,1376,
ML Words Rating,2023/05/31,1275,
ML World Tour Rank,2023/02/22,45,
ML Overall WR,2023/07/12,92,
ML Cards WR,2023/07/12,86,
ML Images WR,2023/04/05,59,
ML IntNames WR,2022/09/11,177,
ML NatNames WR,2022/10/26,321,
ML Numbers WR,2023/04/05,81,
ML Words WR,2023/03/18,82,
トランプ記憶 on hinemos,2023/05/04,52,0:53.69
トランプ記憶ao5 on hinemos,2021/09/02,52,1:29.57
数字記憶40イメージ on hinemos,2021/11/03,40,0:48.18
数字記憶52イメージ on hinemos,2021/09/30,52,1:35.19
リアルトランプ単発,2023/04/22,52,1:19.64
リアルトランプao5,2023/03/05,52,1:50.46
